artist,website,facebook,instagram,twitter,spotify,youtube,tiktok,image
ACID BATH,,https://www.facebook.com/AcidBath,,,,,,https://static.wixstatic.com/media/60af62_0ef61f4d798e4fa795698480918b6203~mv2.png
ALAIN WHYTE,https://www.alainwhytemusic.com/,,,,,,,https://static.wixstatic.com/media/a64678_3c26d712fddb468397aefd605a9f5aca~mv2.png
ALTAMEDA,https://www.altameda.net/,https://www.facebook.com/Altameda/,https://www.instagram.com/altameda/,,https://open.spotify.com/artist/01KXhlX2PCz5Uiw7d5eryb?si=mPQ8McilR7iqUpmg0MQSqA&n,https://youtu.be/UlSmEwePIFs,,https://static.wixstatic.com/media/60af62_6adec6b196144e23b0960b52d6797be7~mv2.png
THE AGGROLITES,http://www.aggroreggae.com/,,https://www.instagram.com/theaggrolites,,,,,https://static.wixstatic.com/media/60af62_41d2c76a1588403e9e4bb0f1508e3dac~mv2.png
Test Name,https://www.andrewduhon.com/,,,,,,,https://static.wixstatic.com/media/a64678_ce4b7f3e9bc1402eafea05ace67acaed~mv2.jpg
ANDY FALCO,https://andyfalco.com/,https://www.facebook.com/AndyFalcoMusic/,https://www.instagram.com/andyfalco/,,,https://youtu.be/DvSDG3K-YPc?feature=shared,,https://static.wixstatic.com/media/60af62_2992f2e0088b4caf9c5cf8778bde26f9~mv2.png
ARIEL PINK,,,https://www.instagram.com/arielxpink/,,https://open.spotify.com/artist/5H0YoDsPDi9fObFmJtTjfN?si=oAn5Ynp4Qc2i5l_TCK860g,,,https://static.wixstatic.com/media/60af62_e15b347187b04e3cb5e8b4a329682d7c~mv2.png
ATTILA,https://attilamerch.com/,https://www.facebook.com/AttilaGA/,https://www.instagram.com/attila_ga,https://twitter.com/attilaga,https://open.spotify.com/artist/4Uv5bceTJ2h3tLlssUNDNP,,,https://static.wixstatic.com/media/60af62_db6e31028ede435ca38f19dfddd40810~mv2.png
AZEALIA BANKS,,https://www.facebook.com/azealiabanksmusic/,https://www.instagram.com/azealiabanksforever/,,,,,https://static.wixstatic.com/media/60af62_00e5ede719e643339f53ae3247497c0a~mv2.png
BAD RABBITS,https://www.badrabbits.com/,https://www.facebook.com/BadRabbits/,https://www.instagram.com/badrabbits/,https://twitter.com/badrabbits/,https://open.spotify.com/artist/534rgZ76LDMlM7xLt9xSGR,,,"https://static.wixstatic.com/media/9975c6_5c308cb109e040e387e1998dcc4d0d04~mv2.jpg/v1/fill/w_320,h_180/badRabbits.jpg"
